# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6354
#@/user_id	ad4735de-f6a4-47fe-aa8e-4a1a80cb8225
dou1 m4 dou3 	都唔到	c=1 d=1.14512e-06 t=6354
dou1 m4 hai6 	都唔係	c=1 d=0.000428594 t=6354
dou1 m4 zi1 	都唔知	c=2 d=0.66034 t=6354
dou1 mou4 	都無	c=1 d=0.154896 t=6354
dou1 waa6 	都話	c=1 d=2.1287e-06 t=6354
dou2 	倒	c=1 d=1.92181e-09 t=6354
dou2 coeng4 	賭場	c=0 d=1.43455e-11 t=6354
dou3 	到	c=39 d=0.17841 t=6354
dou3 si4 	到時	c=2 d=0.965605 t=6354
dou3 si4 hau6 	到時候	c=1 d=4.06916e-11 t=6354
dou6 	度	c=1 d=8.55222e-14 t=6354
dou6 	道	c=2 d=1.10634e-12 t=6354
dou6 dak1 	道德	c=3 d=6.65084e-13 t=6354
dou6 gwo3 	度過	c=1 d=2.10823e-10 t=6354
duk6 	毒	c=1 d=0.00151855 t=6354
duk6 	讀	c=8 d=0.341094 t=6354
duk6 do1 	讀多	c=1 d=2.36437e-06 t=6354
duk6 gan3 	讀艮	c=1 d=2.30121e-11 t=6354
duk6 gwo3 	讀過	c=1 d=2.66029e-11 t=6354
duk6 sit3 	毒舌	c=1 d=0.0125254 t=6354
duk6 syu1 	讀書	c=1 d=3.86939e-07 t=6354
dyun3 gu2 	斷估	c=1 d=1.43802e-09 t=6354
dyun6 	段	c=1 d=0.228779 t=6354
e6 	誒	c=0 d=0.0222149 t=6354
faa1 	花	c=1 d=0.000164928 t=6354
faa1 faa1 gung1 zi2 	花花公子	c=1 d=2.88137e-09 t=6354
faai3 	塊	c=3 d=0.0120259 t=6354
faai3 	快	c=4 d=4.89048e-09 t=6354
faai3 caak1 	快測	c=4 d=3.10439e-12 t=6354
faai3 min6 	塊面	c=1 d=0.606531 t=6354
faan1 	翻	c=26 d=1.55079 t=6354
faan1 dou3 	翻到	c=2 d=0.0162445 t=6354
faan1 gung1 	返工	c=5 d=0.213912 t=6354
faan1 heoi3 	翻去	c=1 d=5.83244e-11 t=6354
faan1 jik6 	翻譯	c=1 d=6.11565e-10 t=6354
faan2 lai4 	返黎	c=6 d=0.000483808 t=6354
faan2 zing3 	反正	c=1 d=2.74794e-10 t=6354
faan4 tai2 	繁體	c=1 d=1.29112e-06 t=6354
faan4 zik6 	繁殖	c=1 d=0.00114197 t=6354
faan6 	飯	c=9 d=1.9995 t=6354
faan6 cau4 	範疇	c=1 d=2.85221e-07 t=6354
faat3 dyun2 seon3 	發短信	c=0 d=3.24145e-13 t=6354
faat3 jin6 	發現	c=1 d=0.625002 t=6354
faat3 long4 	髮廊	c=2 d=1.01227e-06 t=6354
